EASEMENT ID,Address,City,State,Zip,Lat,Long,Current Tenants
26-NY0112,91-10 34TH AVENUE,Queens,NY,11372,40.754461,-73.876345,TMO
26-NY0145,87-85 123RD STREET,Queens,NY,11418,40.698462,-73.826153,VZN
26-NY0146,30-50 WHITESTONE EXPWY,Queens,NY,11354,40.770842,-73.836774,"TMO, VZN"
26-NY0147,34-46 VERNON BLVD,Queens,NY,11106,40.764783,-73.942025,Starry
26-NY0148,208-220 HIGHLAND BLVD.,Brooklyn,NY,11207,40.681453,-73.89395,"ATT, VZN"
26-NY0149,209 UNDERHILL AVENUE,Brooklyn,NY,11238,40.674511,-73.966702,"TMO, ATT, VZN"
26-NY0150,500 WASHINGTON AVENUE,Brooklyn,NY,11238,40.684032,-73.965344,VZN
26-NY0151,104-36 196th St,St. Albans,NY,11412,40.706907,-73.762384,"VZN, TMO, ATT"
26-NY0152,36-36 33RD STREET,Long Island City,NY,11106,40.754799,-73.929509,"VZN, TMO"
26-NY0153,241 TAAFFE PLACE,Brooklyn,NY,11205,40.69089,-73.9593,"TMO, VZN"
26-NY0154,106-20 SHORE FRONT PARKWAY,Far Rockaway,NY,11694,40.581367,-73.827095,VZN
26-NY0155,523 PROSPECT PLACE,Brooklyn,NY,11238,40.6759,-73.95885,VZN
26-NY0156,545 PROSPECT PLACE,Brooklyn,NY,11238,40.67569,-73.95842,Starry
26-NY0157,500 ST MARKS AVENUE,Brooklyn,NY,11238,40.67603,-73.95797,VZN
26-NY0158,595 STEWART AVENUE,Garden City,NY,11530,40.73203,-73.61163,ATT
26-NY0159,123 WADSWORTH AVE,New York,NY,10033,40.848671,-73.935521,VZN
26-NY0160,648 WEST 160TH STREET,New York,NY,10032,40.83676,-73.94573,VZN
26-NY0161,661 WEST 179 STREET,New York,NY,10033,40.84893,-73.93664,TMO
26-NY0162,386 EAST 161 STREET,Bronx,NY,10451,40.82422,-73.91446,VZN
26-NY0163,21-23 21ST AVENUE,Long Island City,NY,11105,40.78224,-73.91406,"VZN, ATT, TMO"
26-NY0164,600  WEST 161ST STREET,New York,NY,10032,40.83668,-73.9436,VZN
26-NY0165,961 ST. NICHOLAS AVENUE,New York,NY,10032,40.83373,-73.94059,VZN
26-NY0166,713 CLASSON AVENUE,Brooklyn,NY,11238,40.67616,-73.95945,TMO
26-NJ0034,900 PASSAIC AVENUE,East Newark,NJ,07029,40.752329,-74.163001,VZN
26-NJ0035,150 MEADOWLANDS PARKWAY,Secaucus,NJ,07094,40.78534,-74.07363,"ATT, VZN"
