"_","Id","Site_Street__c","Site_City__c","Site_State__c","Site_Zip_Code__c"
"[Site__c]","a0ZUq00000GGLQ1MAP","0 6Th Street & Constitution Ave NW","Washington","DC","20001"
"[Site__c]","a0ZUq00000GGLQ2MAP","1 Florida Ave NE","Washington","DC","20002"
"[Site__c]","a0ZUq00000GGLQ3MAP","10 G St NE","Washington","DC","20002"
"[Site__c]","a0ZUq00000GGLQ4MAP","10 Thomas Cir NW","Washington","DC","20005"
"[Site__c]","a0ZUq00000GGLQ5MAP","100 F St NE","Washington","DC","20549"
"[Site__c]","a0ZUq00000GGLQ6MAP","100 Florida Ave NE","Washington","DC","20002"
"[Site__c]","a0ZUq00000GGLQ7MAP","100 K St NE","Washington","DC","20002"
"[Site__c]","a0ZUq00000GGLQ8MAP","1000 12Th St SE","Washington","DC","20003"
"[Site__c]","a0ZUq00000GGLQ9MAP","1000 Jefferson Dr SW","Washington","DC","20560"
"[Site__c]","a0ZUq00000GGLQAMA5","1000 Maine Ave SW","Washington","DC","20024"
"[Site__c]","a0ZUq00000GGLQBMA5","1001 Connecticut Ave NW","Washington","DC","20036"
"[Site__c]","a0ZUq00000GGLQCMA5","1001 G St NW","Washington","DC","20001"
"[Site__c]","a0ZUq00000GGLQDMA5","1005 3Rd St NE","Washington","DC","20002"
"[Site__c]","a0ZUq00000GGLQEMA5","1005 7Th St NW","Washington","DC","20001"
"[Site__c]","a0ZUq00000GGLQFMA5","1007 Evarts St NE","Washington","DC","20018"
"[Site__c]","a0ZUq00000GGLQGMA5","101 N St NW","Washington","DC","20001"
"[Site__c]","a0ZUq00000GGLQHMA5","101 Q St NE","Washington","DC","20002"
"[Site__c]","a0ZUq00000GGLQIMA5","101 T St NE","Washington","DC","20002"
"[Site__c]","a0ZUq00000GGLQJMA5","100 E Pleasant St","Milwaukee","WI","53212"
"[Site__c]","a0ZUq00000GGLQKMA5","1020 W Historic Mitchell St","Milwaukee","WI","53204"
"[Site__c]","a0ZUq00000GGLQLMA5","1110 N Old World Third St","Milwaukee","WI","53203"
"[Site__c]","a0ZUq00000GGLQMMA5","1215 W Michigan St","Milwaukee","WI","53233"
"[Site__c]","a0ZUq00000GGLQNMA5","1220 W Vliet St","Milwaukee","WI","53205"
"[Site__c]","a0ZUq00000GGLQOMA5","1503 W Hopkins St","Milwaukee","WI","53206"
"[Site__c]","a0ZUq00000GGLQPMA5","1635 S 10Th St","Milwaukee","WI","53204"
"[Site__c]","a0ZUq00000GGLQQMA5","1640 S 24Th St","Milwaukee","WI","53204"
"[Site__c]","a0ZUq00000GGLQRMA5","1714 N 1St St","Milwaukee","WI","53212"
"[Site__c]","a0ZUq00000GGLQSMA5","1818 W Juneau Av","Milwaukee","WI","53233"
"[Site__c]","a0ZUq00000GGLQTMA5","1888 N Water St","Milwaukee","WI","53202"
"[Site__c]","a0ZUq00000GGLQUMA5","1901 N 6Th St","Milwaukee","WI","53212"
"[Site__c]","a0ZUq00000GGLQVMA5","2000 W Kilbourn Av","Milwaukee","WI","53233"
"[Site__c]","a0ZUq00000GGLQWMA5","2018 S 1St St","Milwaukee","WI","53207"
"[Site__c]","a0ZUq00000GGLQXMA5","2120 W Clybourn St","Milwaukee","WI","53233"
"[Site__c]","a0ZUq00000GGLQYMA5","2156 S 4Th St","Milwaukee","WI","53207"
"[Site__c]","a0ZUq00000GGLQZMA5","226 N 33Rd St","Milwaukee","WI","53208"
"[Site__c]","a0ZUq00000GGLQaMAP","2300 W Highland Av","Milwaukee","WI","53233"
"[Site__c]","a0ZUq00000GGLQbMAP","2325 S Howell Av","Milwaukee","WI","53207"
"[Site__c]","a0ZUq00000GGLQcMAP","2403 N Maryland Av","Milwaukee","WI","53211"
"[Site__c]","a0ZUq00000GGLQdMAP","250 N 12Th St","Milwaukee","WI","53233"
"[Site__c]","a0ZUq00000GGLQeMAP","2627 W Lapham St","Milwaukee","WI","53204"
"[Site__c]","a0ZUq00000GGLQfMAP","2919 W Wisconsin Av","Milwaukee","WI","53208"
"[Site__c]","a0ZUq00000GGLQgMAP","301 S 44Th St","Milwaukee","WI","53214"
"[Site__c]","a0ZUq00000GGLQhMAP","3059 N Weil St","Milwaukee","WI","53212"
"[Site__c]","a0ZUq00000GGLQiMAP","3100 W Meinecke Av","Milwaukee","WI","53210"
"[Site__c]","a0ZUq00000GGLQjMAP","315 N 12Th St","Milwaukee","WI","53233"
"[Site__c]","a0ZUq00000GGLQkMAP","3334 W Highland Bl","Milwaukee","WI","53208"
