id,address,label,input_confidence
wi_001,"100 E PLEASANT ST, MILWAUKEE, WI 53212",WI,high
wi_002,"1020 W HISTORIC MITCHELL ST, MILWAUKEE, WI 53204",WI,high
wi_003,"1110 N OLD WORLD THIRD ST, #100, MILWAUKEE, WI 53203",WI,high
wi_004,"1215 W MICHIGAN ST, MILWAUKEE, WI 53233",WI,high
wi_005,"1220 W VLIET ST, MILWAUKEE, WI 53205",WI,high
wi_006,"1306 E MEINECKE AV, MILWAUKEE, WI 53212",WI,high
wi_007,"1351 W NORTH AV, MILWAUKEE, WI 53205",WI,high
wi_008,"1503 W HOPKINS ST, MILWAUKEE, WI 53206",WI,high
wi_009,"1635 S 10TH ST, MILWAUKEE, WI 53204",WI,high
wi_010,"1640 S 24TH ST, MILWAUKEE, WI 53204",WI,high
wi_011,"1714 N 1ST ST, MILWAUKEE, WI 53212",WI,high
wi_012,"1818 W JUNEAU AV, #101, MILWAUKEE, WI 53233",WI,high
wi_013,"1888 N WATER ST, #101, MILWAUKEE, WI 53202",WI,high
wi_014,"1901 N 6TH ST, #100, MILWAUKEE, WI 53212",WI,high
wi_015,"2000 W KILBOURN AV, MILWAUKEE, WI 53233",WI,high
wi_016,"2018 S 1ST ST, MILWAUKEE, WI 53207",WI,high
wi_017,"2120 W CLYBOURN ST, MILWAUKEE, WI 53233",WI,high
wi_018,"2156 S 4TH ST, #5, MILWAUKEE, WI 53207",WI,high
wi_019,"226 N 33RD ST, MILWAUKEE, WI 53208",WI,high
wi_020,"2300 W HIGHLAND AV, MILWAUKEE, WI 53233",WI,high
wi_021,"2325 S HOWELL AV, #1001, MILWAUKEE, WI 53207",WI,high
wi_022,"235 W GALENA ST, MILWAUKEE, WI 53212",WI,high
wi_023,"2400 E BRADFORD AV, #201, MILWAUKEE, WI 53211",WI,high
wi_024,"2403 N MARYLAND AV, MILWAUKEE, WI 53211",WI,high
wi_025,"250 N 12TH ST, MILWAUKEE, WI 53233",WI,high
wi_026,"2627 W LAPHAM ST, #101, MILWAUKEE, WI 53204",WI,high
wi_027,"2919 W WISCONSIN AV, #201, MILWAUKEE, WI 53208",WI,high
wi_028,"301 S 44TH ST, MILWAUKEE, WI 53214",WI,high
wi_029,"3059 N WEIL ST, #117, MILWAUKEE, WI 53212",WI,high
wi_030,"3100 W MEINECKE AV, MILWAUKEE, WI 53210",WI,high
wi_031,"315 N 12TH ST, MILWAUKEE, WI 53233",WI,high
wi_032,"3334 W HIGHLAND BL, #1002, MILWAUKEE, WI 53208",WI,high
wi_033,"3742 W WISCONSIN AV, MILWAUKEE, WI 53208",WI,high
wi_034,"400 S 5TH ST, MILWAUKEE, WI 53204",WI,high
wi_035,"413 N 2ND ST, #100, MILWAUKEE, WI 53203",WI,high
wi_036,"4201 N 27TH ST, MILWAUKEE, WI 53216",WI,high
wi_037,"4222 W CAPITOL DR, MILWAUKEE, WI 53216",WI,high
wi_038,"4257 N 100TH ST, MILWAUKEE, WI 53222",WI,high
wi_039,"4456 N TEUTONIA AV, MILWAUKEE, WI 53209",WI,high
wi_040,"4747 S HOWELL AV, MILWAUKEE, WI 53207",WI,high
wi_041,"541 W CONCORDIA AV, MILWAUKEE, WI 53212",WI,high
wi_042,"555 S LAYTON BL, #102, MILWAUKEE, WI 53215",WI,high
wi_043,"6215 W WARNIMONT AV, MILWAUKEE, WI 53220",WI,high
wi_044,"6415 W MT VERNON AV, MILWAUKEE, WI 53213",WI,high
wi_045,"727 N VAN BUREN ST, MILWAUKEE, WI 53202",WI,high
wi_046,"841 N BROADWAY, MILWAUKEE, WI 53202",WI,high
wi_047,"924 E JUNEAU AV, #910, MILWAUKEE, WI 53202",WI,high
