id,address,label,input_confidence
dc_011,"1000 MAINE AVE SW, WASHINGTON, DC 20024",DC,high
dc_012,"1001 CONNECTICUT AVE NW, WASHINGTON, DC 20036",DC,high
dc_013,"1001 G ST NW, WASHINGTON, DC 20001",DC,high
dc_014,"1001 TANNER PL SE, WASHINGTON, DC 20032",DC,high
dc_015,"1005 3RD ST NE, WASHINGTON, DC 20002",DC,high
dc_016,"1005 7TH ST NW, WASHINGTON, DC 20001",DC,high
dc_017,"1007 EVARTS ST NE, WASHINGTON, DC 20018",DC,high
dc_018,"101 N ST NW, WASHINGTON, DC 20001",DC,high
dc_019,"101 Q ST NE, WASHINGTON, DC 20002",DC,high
dc_020,"101 T ST NE, WASHINGTON, DC 20002",DC,high
