id,address,label,input_confidence
dc_121,"1361 INDEPENDENCE CT SE, WASHINGTON, DC 20003",DC,high
dc_122,"1365 KENNEDY ST NW, WASHINGTON, DC 20011",DC,high
dc_123,"1365 WISCONSIN AVE NW, WASHINGTON, DC 20007",DC,high
dc_124,"1375 E ST NE, WASHINGTON, DC 20002",DC,high
dc_125,"1375 KENYON ST NW, WASHINGTON, DC 20010",DC,high
dc_126,"1391 PENNSYLVANIA AVE SE 538, WASHINGTON, DC 20003",DC,high
dc_127,"1396 FLORIDA AVE NE, WASHINGTON, DC 20002",DC,high
dc_128,"14 SHERMAN CIR NW, WASHINGTON, DC 20011",DC,high
dc_129,"1400 16TH ST NW, WASHINGTON, DC 20036",DC,high
dc_130,"1400 1ST ST NW, WASHINGTON, DC 20001",DC,high
dc_131,"1400 CONSTITUTION AVE NW, WASHINGTON, DC 20004",DC,high
dc_132,"1400 W ST NW, WASHINGTON, DC 20009",DC,high
dc_133,"1401 - 1415 PENNSYLVANIA AVE NW, WASHINGTON, DC 20004",DC,high
dc_134,"1401 S ST NW, WASHINGTON, DC 20009",DC,high
dc_135,"1401 W ST NE TOWER LOCA, WASHINGTON, DC 20018",DC,high
dc_136,"1405 RIDGEVIEW WAY NW, WASHINGTON, DC 20007",DC,high
dc_137,"1407 14TH ST NW, WASHINGTON, DC 20005",DC,high
dc_138,"1420 U ST NW, WASHINGTON, DC 20009",DC,high
dc_139,"1425 SOUTH CAROLINA AVE SE, WASHINGTON, DC 20003",DC,high
dc_140,"1442 PENNSYLVANIA AVE SE, WASHINGTON, DC 20003",DC,high
dc_141,"1450 T ST NW, WASHINGTON, DC 20009",DC,high
dc_142,"1499 WATER ST SE, WASHINGTON, DC 20003",DC,high
dc_143,"1500 - 1516 ECKINGTON PL NE, WASHINGTON, DC 20002",DC,high
dc_144,"1500 MASSACHUSETTS AVE NW, WASHINGTON, DC 20005",DC,high
dc_145,"1501 K ST NW, WASHINGTON, DC 20005",DC,high
dc_146,"1501 RHODE ISLAND AVE NW, WASHINGTON, DC 20005",DC,high
dc_147,"1503 EVARTS ST NE, WASHINGTON, DC 20018",DC,high
dc_148,"1503 NEW YORK AVE NE, WASHINGTON, DC",DC,medium
dc_149,"1513 28TH ST SE, WASHINGTON, DC 20020",DC,high
dc_150,"1526 E ST SE, WASHINGTON, DC 20003",DC,high
dc_151,"1527 9TH ST NW, WASHINGTON, DC 20001",DC,high
dc_152,"1529 14TH ST NW C-3, WASHINGTON, DC 20005",DC,high
dc_153,"1530 P ST NW, WASHINGTON, DC 20005",DC,high
dc_154,"1532 BENNING RD NE, WASHINGTON, DC 20002",DC,high
dc_155,"1560 TONDORF RD NW, WASHINGTON, DC 20057",DC,high
dc_156,"1600 BLADENSBURG RD NE, WASHINGTON, DC 20002",DC,high
dc_157,"1600 JONQUIL ST NW, WASHINGTON, DC 20012",DC,high
dc_158,"1600 M ST NW, WASHINGTON, DC 20036",DC,high
dc_159,"1600 RHODE ISLAND AVE NW, WASHINGTON, DC 20036",DC,high
dc_160,"1601 16TH ST SE, WASHINGTON, DC 20020",DC,high
dc_161,"1601 17TH ST NW, WASHINGTON, DC 20009",DC,high
dc_162,"1601 K ST NW, WASHINGTON, DC 20006",DC,high
